area_office,rid
Mobile Area Office,418600
Birmingham Area Office,418300
Anchorage Area Office,1032100
Phoenix Area Office,936400
Little Rock Area Office,627100
Oakland Area Office,936100
San Diego Area Office,936200
Denver Area Office,830500
Englewood Area Office,830600
Bridgeport Area Office,111500
Hartford Area Office,112000
Wilmington Area Office,317300
Jacksonville Area Office,419700
Tampa Area Office,420600
Fort Lauderdale Area Office,418800
Savannah Area Office,418400
Atlanta East Area Office,418100
Atlanta West Area Office,418200
Honolulu Area Office,936300
Boise Area Office,1032500
Peoria Area Office,524500
Fairview Heights Area Office,524530
North Aurora Area Office,521400
Calumet City Area Office,521700
Chicago North Area Office,524200
Peoria Area,524500
Indianapolis Area Office,523100
Des Moines Area Office,728100
Witchita Area Office,729700
Nashville Area Office,420100
Baton Rouge Area Office,625700
Augusta Area Office,111100
Bangor District Office,112900
Baltimore Washington Area Office,316100
Braintree Area Office,111400
Springfield Area Office,112600
Andover Area Office,134000
Lansing Area Office,522900
Eau Claire Area Office,523900
Jackson Area Office,419400
Kansas City Area Office,728500
St. Louis Area Office,729300
Billings Area Office,830100
Omaha Area Office,728900
Las Vegas Area Office,936500
Concord Area Office,111700
Marlton Area Office,213900
Hasbrouck Heights Area Office,214500
Parsippany Area Office,214200
Avenel Area Office,213400
El Paso Area Office,627500
Albany Area Office,213100
Buffalo Area Office,213600
Tarrytown Area Office,216000
Syracuse Area Office,215800
Manhattan Area Office,215000
Long Island Area Office,214700
Queens District Office of the Manhattan Area Office,215600
Raleigh Area Office,420300
Bismarck Area Office,830300
Cincinnati Area Office,522000
Toledo Area Office,524700
Cleveland Area Office,522300
Columbus Area Office,522500
Oklahoma Area Office,627700
Portland Area Office,1032700
Harrisburg Area Office,316700
Pittsburgh Area Office,317500
Wilkes Barre Area Office,317700
Allentown Area Office,317900
Erie Area Office,336000
Philadelphia Area Office,317000
Providence Area Office,112300
Columbia Area Office,418500
Dallas Area Office,626300
Lubbock Area Office,627510
Houston North Area Office,626600
Corpus Christi Area Office,626000
Fort Worth Area Office,636900
San Antonio Area Office,625500
Austin Area Office,625400
Houston South Area Office,626700
Boston Regional Office,100000
Norfolk Area Office,316300
Bellevue Area Office,1032300
Charleston Area Office,316400
Madison Area Office,523300
Appleton Area Office,521100
Milwaukee Area Office,523400
Denver Regional Office,800000
Puerto Rico Area Office,215300
South Dakota Area Office,830400
