fipstate,fipscty,county,state,area_office,rid,region
1,1,Autauga County, AL,Mobile Area Office,418600,4
1,3,Baldwin County, AL,Mobile Area Office,418600,4
1,5,Barbour County, AL,Mobile Area Office,418600,4
1,7,Bibb County, AL,Birmingham Area Office,418300,4
1,9,Blount County, AL,Birmingham Area Office,418300,4
1,11,Bullock County, AL,Mobile Area Office,418600,4
1,13,Butler County, AL,Mobile Area Office,418600,4
1,15,Calhoun County, AL,Birmingham Area Office,418300,4
1,17,Chambers County, AL,Mobile Area Office,418600,4
1,19,Cherokee County, AL,Birmingham Area Office,418300,4
1,21,Chilton County, AL,Mobile Area Office,418600,4
1,23,Choctaw County, AL,Mobile Area Office,418600,4
1,25,Clarke County, AL,Mobile Area Office,418600,4
1,27,Clay County, AL,Birmingham Area Office,418300,4
1,29,Cleburne County, AL,Birmingham Area Office,418300,4
1,31,Coffee County, AL,Mobile Area Office,418600,4
1,33,Colbert County, AL,Birmingham Area Office,418300,4
1,35,Conecuh County, AL,Mobile Area Office,418600,4
1,37,Coosa County, AL,Mobile Area Office,418600,4
1,39,Covington County, AL,Mobile Area Office,418600,4
1,41,Crenshaw County, AL,Mobile Area Office,418600,4
1,43,Cullman County, AL,Birmingham Area Office,418300,4
1,45,Dale County, AL,Mobile Area Office,418600,4
1,47,Dallas County, AL,Mobile Area Office,418600,4
1,49,DeKalb County, AL,Birmingham Area Office,418300,4
1,51,Elmore County, AL,Mobile Area Office,418600,4
1,53,Escambia County, AL,Mobile Area Office,418600,4
1,55,Etowah County, AL,Birmingham Area Office,418300,4
1,57,Fayette County, AL,,,0
1,59,Franklin County, AL,Birmingham Area Office,418300,4
1,61,Geneva County, AL,Mobile Area Office,418600,4
1,63,Greene County, AL,Mobile Area Office,418600,4
1,65,Hale County, AL,Mobile Area Office,418600,4
1,67,Henry County, AL,Mobile Area Office,418600,4
1,69,Houston County, AL,Mobile Area Office,418600,4
1,71,Jackson County, AL,Birmingham Area Office,418300,4
1,73,Jefferson County, AL,Birmingham Area Office,418300,4
1,75,Lamar County, AL,Birmingham Area Office,418300,4
1,77,Lauderdale County, AL,Birmingham Area Office,418300,4
1,79,Lawrence County, AL,Birmingham Area Office,418300,4
1,81,Lee County, AL,Mobile Area Office,418600,4
1,83,Limestone County, AL,Birmingham Area Office,418300,4
1,85,Lowndes County, AL,Mobile Area Office,418600,4
1,87,Macon County, AL,Mobile Area Office,418600,4
1,89,Madison County, AL,Birmingham Area Office,418300,4
1,91,Marengo County, AL,Mobile Area Office,418600,4
1,93,Marion County, AL,Birmingham Area Office,418300,4
1,95,Marshall County, AL,Birmingham Area Office,418300,4
1,97,Mobile County, AL,Mobile Area Office,418600,4
1,99,Monroe County, AL,Mobile Area Office,418600,4
1,101,Montgomery County, AL,Mobile Area Office,418600,4
1,103,Morgan County, AL,Birmingham Area Office,418300,4
1,105,Perry County, AL,Mobile Area Office,418600,4
1,107,Pickens County, AL,Birmingham Area Office,418300,4
1,109,Pike County, AL,Mobile Area Office,418600,4
1,111,Randolph County, AL,Birmingham Area Office,418300,4
1,113,Russell County, AL,Mobile Area Office,418600,4
1,115,St. Clair County, AL,Birmingham Area Office,418300,4
1,117,Shelby County, AL,Birmingham Area Office,418300,4
1,119,Sumter County, AL,Mobile Area Office,418600,4
1,121,Talladega County, AL,Birmingham Area Office,418300,4
1,123,Tallapoosa County, AL,Mobile Area Office,418600,4
1,125,Tuscaloosa County, AL,Birmingham Area Office,418300,4
1,127,Walker County, AL,Birmingham Area Office,418300,4
1,129,Washington County, AL,Mobile Area Office,418600,4
1,131,Wilcox County, AL,Mobile Area Office,418600,4
1,133,Winston County, AL,Birmingham Area Office,418300,4
2,13,Aleutians East Borough, AK,Anchorage Area Office,1032100,10
2,16,Aleutians West Census Area, AK,Anchorage Area Office,1032100,10
2,20,Anchorage Municipality, AK,Anchorage Area Office,1032100,10
2,50,Bethel Census Area, AK,Anchorage Area Office,1032100,10
2,60,Bristol Bay Borough, AK,Anchorage Area Office,1032100,10
2,68,Denali Borough, AK,Anchorage Area Office,1032100,10
2,70,Dillingham Census Area, AK,Anchorage Area Office,1032100,10
2,90,Fairbanks North Star Borough, AK,Anchorage Area Office,1032100,10
2,100,Haines Borough, AK,Anchorage Area Office,1032100,10
2,105,Hoonah-Angoon Census Area, AK,Anchorage Area Office,1032100,10
2,110,Juneau City and Borough, AK,Anchorage Area Office,1032100,10
2,122,Kenai Peninsula Borough, AK,Anchorage Area Office,1032100,10
2,130,Ketchikan Gateway Borough, AK,Anchorage Area Office,1032100,10
2,150,Kodiak Island Borough, AK,Anchorage Area Office,1032100,10
2,164,Lake and Peninsula Borough, AK,Anchorage Area Office,1032100,10
2,170,Matanuska-Susitna Borough, AK,Anchorage Area Office,1032100,10
2,180,Nome Census Area, AK,Anchorage Area Office,1032100,10
2,185,North Slope Borough, AK,Anchorage Area Office,1032100,10
2,188,Northwest Arctic Borough, AK,Anchorage Area Office,1032100,10
2,195,Petersburg Census Area, AK,Anchorage Area Office,1032100,10
2,198,Prince of Wales-Hyder Census Area, AK,Anchorage Area Office,1032100,10
2,220,Sitka City and Borough, AK,Anchorage Area Office,1032100,10
2,230,Skagway Municipality, AK,Anchorage Area Office,1032100,10
2,240,Southeast Fairbanks Census Area, AK,Anchorage Area Office,1032100,10
2,261,Valdez-Cordova Census Area, AK,Anchorage Area Office,1032100,10
2,270,Wade Hampton Census Area, AK,Anchorage Area Office,1032100,10
2,275,Wrangell City and Borough, AK,Anchorage Area Office,1032100,10
2,282,Yakutat City and Borough, AK,Anchorage Area Office,1032100,10
2,290,Yukon-Koyukuk Census Area, AK,Anchorage Area Office,1032100,10
4,1,Apache County, AZ,Phoenix Area Office,936400,9
4,3,Cochise County, AZ,Phoenix Area Office,936400,9
4,5,Coconino County, AZ,Phoenix Area Office,936400,9
4,7,Gila County, AZ,Phoenix Area Office,936400,9
4,9,Graham County, AZ,Phoenix Area Office,936400,9
4,11,Greenlee County, AZ,Phoenix Area Office,936400,9
4,12,La Paz County, AZ,Phoenix Area Office,936400,9
4,13,Maricopa County, AZ,Phoenix Area Office,936400,9
4,15,Mohave County, AZ,Phoenix Area Office,936400,9
4,17,Navajo County, AZ,Phoenix Area Office,936400,9
4,19,Pima County, AZ,Phoenix Area Office,936400,9
4,21,Pinal County, AZ,Phoenix Area Office,936400,9
4,23,Santa Cruz County, AZ,Phoenix Area Office,936400,9
